address,zipcode,type,status,other_status,price,zestimate,festimate,rent_zestimate,beds,baths,area,year,price_reduction,price_increase,days_on_zillow,extra_info,extra_info_type,zpid,id,link
"10801 Sunnybrae Ave, Chatsworth, CA 91311",91311,SINGLE_FAMILY,FOR_SALE,House for sale,1379999.0,1304200,,5999,4,4.0,3204,,"$169,001 (Nov 9)",-169001,-1,"$169,001 (Nov 9)",PRICE_REDUCTION,20157935,20157935,https://www.zillow.com/homedetails/10801-Sunnybrae-Ave-Chatsworth-CA-91311/20157935_zpid/
"2235 Loma Vista Pl, Los Angeles, CA 90039",90039,SINGLE_FAMILY,FOR_SALE,House for sale,1899000.0,1874200,,6915,4,4.0,2785,,,,-1,48 days on Zillow,DAYS_ON,20743106,20743106,https://www.zillow.com/homedetails/2235-Loma-Vista-Pl-Los-Angeles-CA-90039/20743106_zpid/
"8109 Barnsley Ave, Los Angeles, CA 90045",90045,SINGLE_FAMILY,FOR_SALE,House for sale,1249000.0,1284662,,1699,5,4.0,1991,,"$126,000 (Nov 30)",-126000,-1,"$126,000 (Nov 30)",PRICE_REDUCTION,20379182,20379182,https://www.zillow.com/homedetails/8109-Barnsley-Ave-Los-Angeles-CA-90045/20379182_zpid/
"1204 W 81st St, Los Angeles, CA 90044",90044,SINGLE_FAMILY,FOR_SALE,House for sale,650000.0,663800,,2763,2,2.0,1292,,,,-1,49 days on Zillow,DAYS_ON,20947354,20947354,https://www.zillow.com/homedetails/1204-W-81st-St-Los-Angeles-CA-90044/20947354_zpid/
"15045 Wyandotte St, Van Nuys, CA 91405",91405,SINGLE_FAMILY,FOR_SALE,House for sale,800000.0,795900,,2898,2,2.0,1202,,,,-1,49 days on Zillow,DAYS_ON,19961494,19961494,https://www.zillow.com/homedetails/15045-Wyandotte-St-Van-Nuys-CA-91405/19961494_zpid/
"9620 Alene Dr, Tujunga, CA 91042",91042,SINGLE_FAMILY,FOR_SALE,House for sale,990000.0,1027400,,4749,6,3.0,3000,,,,-1,49 days on Zillow,DAYS_ON,20097820,20097820,https://www.zillow.com/homedetails/9620-Alene-Dr-Tujunga-CA-91042/20097820_zpid/
"2109 West Blvd, Los Angeles, CA 90016",90016,SINGLE_FAMILY,FOR_SALE,House for sale,999999.0,1015735,,2984,3,2.0,1560,,,,-1,51 days on Zillow,DAYS_ON,20595832,20595832,https://www.zillow.com/homedetails/2109-West-Blvd-Los-Angeles-CA-90016/20595832_zpid/
"6115 Annan Way, Los Angeles, CA 90042",90042,SINGLE_FAMILY,FOR_SALE,House for sale,1248000.0,1451800,,4529,3,2.0,1548,,,,-1,51 days on Zillow,DAYS_ON,20769411,20769411,https://www.zillow.com/homedetails/6115-Annan-Way-Los-Angeles-CA-90042/20769411_zpid/
"1733 W 37th Pl, Los Angeles, CA 90018",90018,SINGLE_FAMILY,FOR_SALE,House for sale,650000.0,790700,,3770,3,2.0,1240,,,,-1,51 days on Zillow,DAYS_ON,20583609,20583609,https://www.zillow.com/homedetails/1733-W-37th-Pl-Los-Angeles-CA-90018/20583609_zpid/
"204 N Union Ave, Los Angeles, CA 90026",90026,SINGLE_FAMILY,FOR_SALE,House for sale,1790000.0,1824100,,6999,6,3.0,4494,,,,-1,51 days on Zillow,DAYS_ON,20627934,20627934,https://www.zillow.com/homedetails/204-N-Union-Ave-Los-Angeles-CA-90026/20627934_zpid/
"15098 Rayneta Dr, Sherman Oaks, CA 91403",91403,SINGLE_FAMILY,FOR_SALE,House for sale,1998000.0,2171000,,8618,4,3.0,2914,,,,-1,51 days on Zillow,DAYS_ON,19989443,19989443,https://www.zillow.com/homedetails/15098-Rayneta-Dr-Sherman-Oaks-CA-91403/19989443_zpid/
