address,zipcode,type,status,other_status,price,last_sold_price,tax_assessed_value,tax_assessed_year,mortgage_rate,propert_tax_rate,zestimate,festimate,rent_zestimate,beds,baths,area,year,reduction,days_on_zillow,extra_info,extra_info_type,zpid,id,link
"4415 Hector Ct APT 5, Orlando, FL 32822",32822,CONDO,FOR_SALE,Condo for sale,115000.0,39900,52600,2018,4.681,1.09,105713,105713,1200,2,2.0,876,1987,,8,8 days on Zillow,DAYS_ON,71092432,71092432,https://www.zillow.com/homedetails/4415-Hector-Ct-APT-5-Orlando-FL-32822/71092432_zpid/
"7672 Forest City Rd APT 141, Orlando, FL 32810",32810,CONDO,FOR_SALE,Condo for sale,55000.0,47000,,,4.681,1.09,49997,49997,1250,3,2.0,1187,1975,,8,8 days on Zillow,DAYS_ON,2096884821,2096884821,https://www.zillow.com/homedetails/7672-Forest-City-Rd-APT-141-Orlando-FL-32810/2096884821_zpid/
"7674 Forest City Rd APT 145, Orlando, FL 32810",32810,CONDO,FOR_SALE,Condo for sale,55000.0,47000,,,4.681,1.09,50030,50030,1250,3,2.0,1187,1975,,8,8 days on Zillow,DAYS_ON,2133556552,2133556552,https://www.zillow.com/homedetails/7674-Forest-City-Rd-APT-145-Orlando-FL-32810/2133556552_zpid/
"5530 Metrowest Blvd APT 304, Orlando, FL 32811",32811,CONDO,FOR_SALE,Condo for sale,145000.0,,,,4.062,1.09,135363,135363,,2,2.0,1073,1999,,8,8 days on Zillow,DAYS_ON,2081513344,2081513344,https://www.zillow.com/homedetails/5530-Metrowest-Blvd-APT-304-Orlando-FL-32811/2081513344_zpid/
"13232 Galicia St APT 102, Orlando, FL 32824",32824,CONDO,FOR_SALE,Condo for sale,165000.0,53000,102000,2018,4.062,1.09,154869,154869,1395,3,2.0,1200,2003,,8,8 days on Zillow,DAYS_ON,63400125,63400125,https://www.zillow.com/homedetails/13232-Galicia-St-APT-102-Orlando-FL-32824/63400125_zpid/
"291 Glowing Peace Ln, Orlando, FL 32824",32824,TOWNHOUSE,FOR_SALE,Townhouse for sale,192000.0,,,,4.062,1.09,180631,180631,,3,2.5,1495,2007,,9,Open: Fri. 8am-9pm,OPEN_HOUSE,2081517721,2081517721,https://www.zillow.com/homedetails/291-Glowing-Peace-Ln-Orlando-FL-32824/2081517721_zpid/
"4424 Buckeye Ct, Orlando, FL 32804",32804,SINGLE_FAMILY,FOR_SALE,Foreclosure,85000.0,115000,63641,2018,4.681,1.09,77646,77646,1295,2,1.0,989,1901,,9,9 days on Zillow,DAYS_ON,46045107,46045107,https://www.zillow.com/homedetails/4424-Buckeye-Ct-Orlando-FL-32804/46045107_zpid/
"4633 Ring Neck Rd # B, Orlando, FL 32808",32808,TOWNHOUSE,FOR_SALE,Townhouse for sale,94500.0,,,,4.681,1.09,88098,88098,,2,2.0,1061,1983,,9,9 days on Zillow,DAYS_ON,2081519867,2081519867,https://www.zillow.com/homedetails/4633-Ring-Neck-Rd-B-Orlando-FL-32808/2081519867_zpid/
"2537 Maitland Crossing Way UNIT 103, Orlando, FL 32810",32810,CONDO,FOR_SALE,Condo for sale,159000.0,70500,100000,2018,4.062,1.09,149381,149381,1400,3,2.0,1205,2000,"$5,900 (Jan 14)",9,"$5,900 (Jan 14)",PRICE_REDUCTION,71082733,71082733,https://www.zillow.com/homedetails/2537-Maitland-Crossing-Way-UNIT-103-Orlando-FL-32810/71082733_zpid/
"1950 Dardanelle Dr, Orlando, FL 32808",32808,MULTI_FAMILY,FOR_SALE,Apartment for sale,117500.0,13376,127697,2018,4.681,1.09,113083,113083,1300,2,2.0,1027,1985,,9,9 days on Zillow,DAYS_ON,46145009,46145009,https://www.zillow.com/homedetails/1950-Dardanelle-Dr-Orlando-FL-32808/46145009_zpid/
"204 E South St UNIT 1058, Orlando, FL 32801",32801,MULTI_FAMILY,FOR_SALE,For sale by owner,190000.0,170000,151600,2018,4.062,1.09,200752,200752,1600,2,2.0,1115,2002,"$10,000 (Jan 8)",9,"$10,000 (Jan 8)",PRICE_REDUCTION,64462129,64462129,https://www.zillow.com/homedetails/204-E-South-St-UNIT-1058-Orlando-FL-32801/64462129_zpid/
"1010 18th St, Orlando, FL 32805",32805,SINGLE_FAMILY,FOR_SALE,Auction,96425.0,105000,38017,2018,4.681,1.09,85761,85761,1259,2,1.0,1251,1950,,9,9 days on Zillow,DAYS_ON,46047231,46047231,https://www.zillow.com/homedetails/1010-18th-St-Orlando-FL-32805/46047231_zpid/
"1212 Coletta Dr, Orlando, FL 32807",32807,SINGLE_FAMILY,FOR_SALE,House for sale,149999.0,76000,87529,2018,4.062,1.09,138590,138590,1250,2,1.0,1049,1930,,9,9 days on Zillow,DAYS_ON,46167239,46167239,https://www.zillow.com/homedetails/1212-Coletta-Dr-Orlando-FL-32807/46167239_zpid/
"6107 Lake Pointe Dr # 104, Orlando, FL 32822",32822,CONDO,FOR_SALE,Condo for sale,168000.0,87500,97800,2018,4.062,1.09,158069,158069,1300,2,2.0,914,1981,,10,10 days on Zillow,DAYS_ON,46050833,46050833,https://www.zillow.com/homedetails/6107-Lake-Pointe-Dr-104-Orlando-FL-32822/46050833_zpid/
"4799 S Texas Ave APT C, Orlando, FL 32839",32839,CONDO,FOR_SALE,Condo for sale,89500.0,45200,,,4.681,1.09,83006,83006,1499,3,2.0,1270,1973,,10,10 days on Zillow,DAYS_ON,2125977192,2125977192,https://www.zillow.com/homedetails/4799-S-Texas-Ave-APT-C-Orlando-FL-32839/2125977192_zpid/
